nong	n o ng
2019	2 0 1 9
1319	1 3 1 9
127	1 2 7
tôjröêm	t ô jr ö ê m
với	v ớ i
quả	q u ả
gôgoê	g ô g o ê
veâ	v e â
thöa	th ö a
chöêng	ch ö ê ng
kieâu	k ie â u
keâ	k e â
aêng	a ê ng
của	c ủ a
băng	b ă ng
17500m3	1 7 5 0 0 m 3
337	3 3 7
coå	c o å
xung	x u ng
bhyt	b h y t
kuaên	k u a ê n
roân	r o â n
75	7 5
193	1 9 3
ub	u b
kwh	k w h
taâm	t a â m
taûo	t a û o
teâ	t e â
121	1 2 1
löu	l ö u
nai	n a i
pôthokhan	p ô th o kh a n
pôlok	p ô l o k
phong	ph o ng
kôdrieâng	k ô dr ie â ng
no	n o
cao	c a o
uoân	u o â n
kueân	k u e â n
745	7 4 5
kheo	kh e o
chia	ch ia
ñuoâêi	ñ u o â ê i
bu	b u
ieâl	ie â l
tiên	t i ê n
pơlei	p ơ l e i
024	0 2 4
cheêp	ch e ê p
dach	d a c h
ven	v e n
pôjing	p ô j i n g
vnptigate	v n p t i g a t e
vaên	v a ê n
k2	k 2
03	0 3
atruh	a t r u h
moêk	m o ê k
nghiê	ng h i ê
2008	2 0 0 8
chôêp	ch ô ê p
36	3 6
ñen	ñ e n
156	1 5 6
kheêo	kh e ê o
jot	j o t
si	s i
thoi	th o i
10174	1 0 1 7 4
kôpah	k ô p a h
hieâm	h i e â m
dei	d e i
añriêng	a ñ r i ê ng
thoêâng	th o ê â ng
tröêk	tr ö ê k
rất	r ấ t
doanh	d o a n h
kône	k ô n e
bio	b i o
975	9 7 5
lac	l a c
ra	r a
vai	v a i
quyeân	q u y e â n
dung	d u ng
70	7 0
huynh	h u y n h
tôp	t ô p
kôjaêp	k ô j a ê p
kue	k u e
wă	w ă
322020	3 2 2 0 2 0
nhieâm	n h i e â m
thcsthpt	th c s t h p t
bröê	br ö ê
tôjung	t ô j u ng
mức	m ứ c
yê	y ê
aleâ	a l e â
địa	đ ị a
ô	ô
khoan	kh o a n
lệ	l ệ
k6	k 6
pal	p a l
boâ	b o â
phap	ph a p
oei	o e i
hành	h à n h
jöông	j ö ô ng
maê	m a ê
acsimin	a c s i m i n
toâng	t o â ng
1704	1 7 0 4
töông	t ö ô ng
449	4 4 9
poâ	p o â
2022	2 0 2 2
1368545	1 3 6 8 5 4 5
chung	ch u ng
apo	a p o
55m	5 5 m
pôjaêng	p ô j a ê ng
9000	9 0 0 0
524296	5 2 4 2 9 6
nngheâ	n ng h e â
910	9 1 0
593	5 9 3
109	1 0 9
500m2	5 0 0 m 2
tôdrongan	t ô dr o ng a n
4127	4 1 2 7
kôïaëp	k ô ï a ë p
ñat	ñ a t
300	3 0 0
5075	5 0 7 5
hoân	h o â n
1686	1 6 8 6
pieâu	p ie â u
nghieâp	ng h i e â p
luoâêch	l u o â ê ch
614	6 1 4
pônhrohj	p ô nhr o h j
tan	t a n
ñieâu	ñ ie â u
yer	y e r
tuêk	t u ê k
vo	v o
pôtôêp	p ô t ô ê p
tơl	t ơ l
iêt	i ê t
158	1 5 8
20	2 0
dựng	d ự ng
122	1 2 2
adreâch	a d r e â ch
coêâng	c o ê â ng
380	3 8 0
sư	s ư
jeânm	j e â n m
jiêt	j i ê t
in	i n
hao	h a o
thach	th a c h
teêk	t e ê k
cp	c p
cah	c a h
uoâil	u o â i l
sôngöm	s ô ng ö m
hyôt	hy ô t
mttq	m t t q
non	n o n
bôngai	b ô ng a i
beêâ	b e ê â
khan	kh a n
daâu	d a â u
theâm	th e â m
129	1 2 9
công	c ô ng
11h	1 1 h
phut	ph u t
hôbo	h ô b o
pum	p u m
kôp	k ô p
phuk	ph u k
lö	l ö
25	2 5
từ	t ừ
nöih	n ö i h
kuyeât	k u y e â t
töôi	t ö ô i
troê	tr o ê
ñaoong	ñ a o o ng
jung	j u ng
test	t e s t
pơlok	p ơ l o k
pơjăng	p ơ j ă ng
klong	kl o ng
doâm	d o â m
nữ	n ữ
muk	m u k
416	4 1 6
pheâ	ph e â
033	0 3 3
305	3 0 5
keêt	k e ê t
tômöt	t ô m ö t
chiến	ch i ế n
thueâ	th ue â
chqs	ch q s
sôhmanh	s ô hm a n h
ñac	ñ a c
32	3 2
binh	b i n h
juêng	j u ê ng
ñeân	ñ e â n
bôgeâ	b ô g e â
atac	a t a c
nghi	ng h i
baâp	b a â p
trọng	tr ọ ng
1297	1 2 9 7
jeân	j e â n
maêc	m a ê c
81	8 1
245	2 4 5
dc	d c
mök	m ö k
2524	2 5 2 4
0232020	0 2 3 2 0 2 0
317	3 1 7
cấp	c ấ p
atuoâch	a t u o â ch
pôêk	p ô ê k
kheâ	kh e â
söa	s ö a
sö	s ö
2014	2 0 1 4
saên	s a ê n
leâ	l e â
83	8 3
amem	a m e m
gian	g i a n
pôjaêngt	p ô j a ê ng t
ren	r e n
haâp	h a â p
deh	d e h
94	9 4
kreâ	kr e â
dục	d ụ c
apoh	a p o h
ai	a i
ngay	ng a y
roâp	r o â p
daêch	d a ê ch
999	9 9 9
8170m2	8 1 7 0 m 2
driêng	dr i ê ng
möt	m ö t
tieâp	t ie â p
loä	l o ä
tek	t e k
bat	b a t
tôpalh	t ô p a l h
05	0 5
thö	th ö
tôïul	t ô ï u l
adron	a d r o n
1450	1 4 5 0
reii	r e i i
athu	a t h u
đoan	đ o a n
có	c ó
11	1 1
324	3 2 4
kumi	k u m i
amin	a m i n
155	1 5 5
khinh	kh i n h
roêng	r o ê ng
vieâm	v ie â m
cnh	c n h
2020	2 0 2 0
tính	t í n h
coêâ	c o ê â
96	9 6
arih	a r i h
tôplah	t ô pl a h
lanh	l a n h
ñaêt	ñ a ê t
nhaêt	n h a ê t
asech	a s e ch
xix	x i x
phaâm	ph a â m
dich	d i ch
de	d e
rang	r a n g
tôêk	t ô ê k
duyeât	d u y e â t
baâk	b a â k
ñunh	ñ u n h
014	0 1 4
kueê	k u e ê
yaêl	y a ê l
ñech	ñ e ch
truêk	tr uê k
chieân	ch ie â n
boên	b o ê n
chaân	ch a â n
22019	2 2 0 1 9
tônghieât	t ô ng h i e â t
78	7 8
100	1 0 0
pôteo	p ô t e o
pôtruh	p ô tr u h
vieâtgap	v ie â t g a p
gioâ	g i o â
thieân	th ie â n
điều	đ i ề u
iii	i i i
ñeâm	ñ e â m
huyeât	h u y e â t
cuï	c u ï
phương	ph ư ơ ng
1449m3	1 4 4 9 m 3
ngoâ	ng o â
kômaêng	k ô m a ê ng
thoâng	th o â ng
1000	1 0 0 0
bieân	b i e â n
pôgôp	p ô g ô p
vui	v u i
84	8 4
dịch	d ị ch
sroâh	sr o â h
cheâê	ch e â ê
put	p u t
huy	h u y
öông	ö ô ng
ñoâi	ñ o â i
xaõ	x a õ
yaê	y a ê
k10	k 1 0
chiê	ch i ê
tôtam	t ô t a m
hôgeêi	h ô g e ê i
373	3 7 3
2502ha	2 5 0 2 h a
5368950	5 3 6 8 9 5 0
he	h e
cach	c a c h
18810kg	1 8 8 1 0 k g
695	6 9 5
hôdôi	h ô d ô i
caûi	c a û i
rac	r a c
374	3 7 4
kiêa	k i ê a
159	1 5 9
bo	b o
thah	th a h
tôk	t ô k
ăn	ă n
sut	s u t
vàng	v à ng
214	2 1 4
khei	kh e i
pôting	p ô t i n g
11946kg	1 1 9 4 6 k g
chanh	ch a n h
grun	gr u n
nhiệm	n h i ệ m
sôre	s ô r e
pôdoâê	p ô d o â ê
683	6 8 3
ñei	ñ e i
soâ	s o â
sôhmech	s ô hm e ch
ngheâ	ng h e â
araê	a r a ê
2025	2 0 2 5
ñoang	ñ o a n g
53	5 3
ñoâ	ñ o â
pôtôm	p ô t ô m
vdring	v dr i n g
kjung57	k j u ng 5 7
löa	l ö a
nhöông	n h ö ô ng
vieân	v ie â n
hiơt	h i ơ t
14	1 4
hôhei	h ô h e i
472	4 7 2
0542019	0 5 4 2 0 1 9
hhuyeân	h h u y e â n
ñiê	ñ i ê
bôdroêng	b ô dr o ê ng
plei	pl e i
chöôg	ch ö ô g
adruh	a d r u h
72020	7 2 0 2 0
mtv	m t v
yaêlo	y a ê l o
4854	4 8 5 4
khang	kh a n g
fran	f r a n
phi	ph i
chaâu	ch a â u
ataêu	a t a ê u
gdnn	g d n n
nung	n u ng
1012	1 0 1 2
tơnghiêt	t ơ ng h i ê t
chöng	ch ö ng
bí	b í
tôdiong	t ô d i o ng
kôniaria	k ô n ia r ia
quang	q u a n g
maâm	m a â m
tru	tr u
baminh	b a m i n h
nhôên	n h ô ê n
linh	l i n h
4900	4 9 0 0
pôgal	p ô g a l
9277	9 2 7 7
pôgôl	p ô g ô l
giai	g i a i
52nqtw	5 2 n q t w
ñam	ñ a m
dông	d ô ng
trung	tr u ng
pơnhroh	p ơ nhr o h
40000m2	4 0 0 0 0 m 2
123	1 2 3
k1	k 1
oh	o h
döng	d ö ng
kung	k u ng
pôlenh	p ô l e n h
10	1 0
2229m3	2 2 2 9 m 3
ka	k a
kueêt	k u e ê t
bôl	b ô l
90	9 0
nhôn	n h ô n
suplô	s u pl ô
ku	k u
19	1 9
ngoê	ng o ê
chöa	ch ö a
tröôgn	tr ö ô g n
kinh	k i n h
boi	b o i
aêmk	a ê m k
dö	d ö
226	2 2 6
löc	l ö c
vitamin	v i t a m i n
tôhnglaih	t ô hng l a i h
khuaân	kh ua â n
lech	l e ch
yeân	y e â n
486	4 8 6
tiê	t i ê
bigc	b i g c
añring	a ñ r i n g
1975	1 9 7 5
lai	l a i
1010	1 0 1 0
thoân	th o â n
tôgum	t ô g u m
dơt	d ơ t
thio	th i o
kang	k a n g
cö	c ö
tröc	tr ö c
al	a l
1191	1 1 9 1
kaêc	k a ê c
ñon	ñ o n
khôi	kh ô i
cheêo	ch e ê o
93	9 3
7437	7 4 3 7
a	a
khai	kh a i
luyeân	l u y e â n
blo	bl o
ñông	ñ ô ng
152000	1 5 2 0 0 0
419	4 1 9
deâh	d e â h
thoai	th o a i
30450	3 0 4 5 0
tôêkpôêk	t ô ê k p ô ê k
hoâng	h o â ng
pôloêk	p ô l o ê k
kôhrieâng	k ô hr ie â ng
naên	n a ê n
gheâ	g h e â
hmong	hm o ng
atak	a t a k
nhi	n h i
gioâi	g i o â i
92	9 2
ñieâm	ñ ie â m
adring	a d r i n g
an	a n
mua	m u a
hat	h a t
nghe	ng h e
1202	1 2 0 2
kôñeh	k ô ñ e h
anhao	a n h a o
baâc	b a â c
tôpih	t ô p i h
ôguêm	ô g u ê m
dv	d v
bị	b ị
tông	t ô ng
38	3 8
tich	t i ch
tc4	t c 4
tho	th o
au	a u
don	d o n
hyaêh	hy a ê h
21012019	2 1 0 1 2 0 1 9
kjung	k j u ng
trö	tr ö
pôtih	p ô t i h
66khtu	6 6 k h t u
ñiêch	ñ i ê ch
taêc	t a ê c
163	1 6 3
hli	hl i
hioh	h i o h
tao	t a o
maâraê	m a â r a ê
chôñieâng	ch ô ñ ie â ng
bau	b a u
ña	ñ a
caân	c a â n
chôp	ch ô p
tuyeêân	t u y e ê â n
bôêu	b ô ê u
dehh	d e h h
1098	1 0 9 8
laâp	l a â p
traâ	tr a â
oeng	o e n g
köêu	k ö ê u
atau	a t a u
gio	g i o
waê	w a ê
bôngot	b ô ng o t
06h30	0 6 h 3 0
boâi	b o â i
ôgah	ô g a h
kôna	k ô n a
ñoângsônaêm	ñ o â ng s ô n a ê m
sieâu	s ie â u
uoâl	u o â l
le	l e
40	4 0
möu	m ö u
ñeêch	ñ e ê ch
2085	2 0 8 5
khaâu	kh a â u
uyeân	u y e â n
kiloâgam	k i l o â g a m
cuc	c u c
01	0 1
chuaân	ch ua â n
san	s a n
canh	c a n h
agah	a g a h
634	6 3 4
sự	s ự
öng	ö ng
loan	l o a n
lý	l ý
kôbraê	k ô br a ê
thấy	th ấ y
2424	2 4 2 4
ahreêi	a h r e ê i
326	3 2 6
ñah	ñ a h
chaêp	ch a ê p
1019	1 0 1 9
yeâu	y e â u
trên	tr ê n
phoâ	ph o â
kieâên	k ie â ê n
ñuoâi	ñ u o â i
kônhieâm	k ô n h i e â m
o3	o 3
mok	m o k
hit	h i t
sravani	sr a v a n i
luaât	l u a â t
tôroi	t ô r o i
1943	1 9 4 3
20122019	2 0 1 2 2 0 1 9
1668	1 6 6 8
uieâl	u ie â l
jing	j i n g
beâk	b e â k
muêk	m u ê k
chöêc	ch ö ê c
xeâp	x e â p
xaây	x a â y
2910	2 9 1 0
1294	1 2 9 4
quet	q u e t
pôleio	p ô l e i o
ñoâng	ñ o â ng
maât	m a â t
tiêch	t i ê ch
116000	1 1 6 0 0 0
02	0 2
1357	1 3 5 7
tam	t a m
pöôm	p ö ô m
truê	tr uê
ha	h a
1991	1 9 9 1
dôn	d ô n
pôtôp	p ô t ô p
384	3 8 4
kranh	kr a n h
198	1 9 8
bôn	b ô n
anuminh	a n u m i n h
syõ	s y õ
5000	5 0 0 0
adreâêch	a d r e â ê ch
kkon	k k o n
daáu	d a á u
phöông	ph ö ô ng
bô	b ô
1419	1 4 1 9
han	h a n
hôh	h ô h
roâi	r o â i
taâng	t a â ng
xy	x y
phieâu	ph ie â u
stress	s t r e s s
89	8 9
lu	l u
ñoan	ñ o a n
boâê	b o â ê
khôu	kh ô u
đội	đ ộ i
pôran	p ô r a n
trị	tr ị
huyeän	h u y e ä n
ôn	ô n
sap	s a p
mieân	m ie â n
kôïit	k ô ï i t
1617	1 6 1 7
quản	q u ả n
jônum	j ô n u m
goâñeêch	g o â ñ e ê ch
các	c á c
hoang	h o a n g
ñeo	ñ e o
iêch	i ê ch
54	5 4
leânh	l e â n h
kho	kh o
hnhei	hn h e i
xaâm	x a â m
phongan	ph o ng a n
1172	1 1 7 2
41	4 1
moi	m o i
pôkueê	p ô k u e ê
23	2 3
vuõ	v u õ
ñv	ñ v
519	5 1 9
caên	c a ê n
caùch	c a ù ch
trô	tr ô
68	6 8
kleênh	kl e ê n h
849	8 4 9
höôêng	h ö ô ê ng
m8	m 8
neâu	n e â u
thuoâc	th u o â c
ung	u ng
16042019	1 6 0 4 2 0 1 9
jôh	j ô h
1719	1 7 1 9
tôme	t ô m e
tram	tr a m
18	1 8
yua	y ua
thôm	th ô m
247	2 4 7
tổng	t ổ ng
599	5 9 9
ñu	ñ u
bich	b i ch
ke	k e
tieât	t ie â t
ngũ	ng ũ
xuyeân	x u y e â n
trạng	tr ạ ng
ve	v e
teât	t e â t
tinh	t i n h
öêng	ö ê ng
649	6 4 9
thiê	th i ê
nha	n h a
hoêk	h o ê k
akaêl	a k a ê l
kseê	k s e ê
clb	c l b
eêi	e ê i
brö	br ö
391	3 9 1
tơplih	t ơ pl i h
113	1 1 3
che	ch e
chöêk	ch ö ê k
01102019	0 1 1 0 2 0 1 9
giôi	g i ô i
tượng	t ư ợ ng
417	4 1 7
pôgop	p ô g o p
hiện	h i ệ n
toa	t o a
dech	d e ch
oeêng	o e ê ng
huaân	h u a â n
kheêi	kh e ê i
2526	2 5 2 6
km	k m
ñia	ñ ia
my	my
chöc	ch ö c
nhoêng	n h o ê ng
191	1 9 1
tic	t i c
taâp	t a â p
67	6 7
lực	l ự c
tục	t ụ c
0801	0 8 0 1
mahöch	m a h ö ch
nhcsxh	n h c s x h
đối	đ ố i
50m3	5 0 m 3
let	l e t
8889	8 8 8 9
kôpahlôm	k ô p a h l ô m
nhong	n h o ng
lại	l ạ i
khieâu	kh ie â u
thoat	th o a t
nguoân	ng u o â n
keh	k e h
1862020	1 8 6 2 0 2 0
ñit	ñ i t
153	1 5 3
lieâm	l ie â m
chök	ch ö k
klak	kl a k
9411	9 4 1 1
jeâ	j e â
274	2 7 4
noâêi	n o â ê i
toê	t o ê
1264	1 2 6 4
0901	0 9 0 1
teh	t e h
chính	ch í n h
lao	l a o
jaêng	j a ê ng
mil	m i l
220	2 2 0
2500m3	2 5 0 0 m 3
caêp	c a ê p
giam	g i a m
tham	th a m
jöng	j ö ng
huyeân	h u y e â n
ranh	r a n h
taêp	t a ê p
chro	ch r o
nhưng	n h ư ng
uvbtv	u v b t v
202	2 0 2
1405	1 4 0 5
dep	d e p
cách	c á ch
ôla	ô l a
daêm	d a ê m
meo	m e o
8163	8 1 6 3
hộ	h ộ
k3	k 3
thôn	th ô n
lich	l i ch
pôk	p ô k
ñaâk	ñ a â k
gdnngdtx	g d n ng d t x
nhô	n h ô
meïo	m e ï o
möng	m ö ng
phun	ph u n
xi	x i
kônaêr	k ô n a ê r
428	4 2 8
ñaêc	ñ a ê c
950	9 5 0
xuan	x ua n
12419	1 2 4 1 9
coâê	c o â ê
vöc	v ö c
traât	tr a â t
praê	pr a ê
075	0 7 5
4	4
khoêa	kh o ê a
loang	l o a n g
b	b
caêt	c a ê t
hàng	h à ng
dân	d â n
kôjung	k ô j u ng
toâc	t o â c
ñich	ñ i ch
thieât	th ie â t
rong	r o ng
quaê	q u a ê
jul	j u l
rim	r i m
tônap	t ô n a p
nhom	n h o m
unh	u n h
dia	d i a
jơnang	j ơ n a n g
56	5 6
nilong	n i l o ng
trang	tr a n g
kuy	k u y
gôn	g ô n
gôên	g ô ê n
ñim	ñ i m
2238	2 2 3 8
nhiễm	n h i ễ m
alöng	a l ö ng
aêch	a ê ch
cnhhñh	c n h hñ h
dan	d a n
tuv	t u v
trùng	tr ù ng
ñoh	ñ o h
ôdrôêu	ô dr ô ê u
34	3 4
trong	tr o ng
mang	m a n g
pac	p a c
47	4 7
caäp	c a ä p
nieâm	n ie â m
kết	k ế t
nguy	ng u y
caâp	c a â p
trai	tr a i
kieân	k ie â n
cam	c a m
mih	m i h
tt	t t
ba	b a
trieât	tr ie â t
kôtao	k ô t a o
miê	m i ê
tc19	t c 1 9
ngaâm	ng a â m
theå	th e å
inh	i n h
35000	3 5 0 0 0
545	5 4 5
xa	x a
307	3 0 7
baêng	b a ê ng
hlung	hl u ng
chuyeân	ch u y e â n
bal	b a l
2011	2 0 1 1
pap	p a p
thu	th u
corona	c o r o n a
mum	m u m
ptdtntthpt	p t d t n t th p t
gia	g i a
thay	th a y
pleêi	pl e ê i
maêi	m a ê i
tô	t ô
ieâk	ie â k
3132020	3 1 3 2 0 2 0
soâng	s o â ng
vnpt	v n p t
loâ	l o â
gdñt	g d ñ t
59	5 9
135134	1 3 5 1 3 4
494	4 9 4
athoi	a t h o i
3052019	3 0 5 2 0 1 9
dinh	d i n h
chpuoâih	ch p u o â i h
chôhluêng	ch ô hl uê n g
tuy	t u y
thaân	th a â n
ii	i i
tö	t ö
phuù	ph u ù
truh	tr u h
336	3 3 6
5034	5 0 3 4
150	1 5 0
977	9 7 7
truyền	tr u y ề n
kljung	kl j u ng
tôñuk	t ô ñ u k
pinh	p i n h
74	7 4
goc	g o c
nam	n a m
hoi	h o i
chaêc	ch a ê c
nhaâp	n h a â p
450	4 5 0
poâng	p o â ng
pôkaê	p ô k a ê
ubmttqvn	u b m t t q v n
333	3 3 3
loi	l o i
klah	kl a h
hô	h ô
glaêi	gl a ê i
ñang	ñ a n g
but	b u t
bet	b e t
anguoân	a n g u o â n
pôlaê	p ô l a ê
pôjingtôdrong	p ô j i n g t ô dr o ng
möôih	m ö ô i h
nan	n a n
nhin	n h i n
1211	1 2 1 1
80	8 0
kd	k d
giáo	g i á o
kach	k a c h
yol	y o l
luaân	l u a â n
hnglo	hng l o
vaccine	v a c c i n e
bach	b a c h
game	g a m e
newziland	n e w z i l a n d
go	g o
leo	l e o
đồngngười	đ ồ ng n g ư ờ i
tác	t á c
xó	x ó
thi	th i
cocvid19	c o c v i d 1 9
28	2 8
trơ	tr ơ
tôdrong	t ô dr o ng
pang	p a n g
bai	b a i
ma	m a
tôdrog	t ô dr o g
ñbqh	ñ b q h
kham	kh a m
khanh	kh a n h
pônil	p ô n i l
chuoâi	ch u o â i
118	1 1 8
ho	h o
caâu	c a â u
ñoc	ñ o c
chruêh	ch r u ê h
dôt	d ô t
nghieâm	ng h i e â m
2612	2 6 1 2
vaêccine	v a ê c c i n e
khuyeâên	kh u y e â ê n
thoâi	th o â i
bôgheâ	b ô g h e â
35	3 5
plenh	pl e n h
122019	1 2 2 0 1 9
mung	m u ng
340	3 4 0
pôjao	p ô j a o
akoêm	a k o ê m
geêr	g e ê r
pôguo	p ô g u o
biossed	b i o s s e d
328	3 2 8
vuï	v u ï
28102018	2 8 1 0 2 0 1 8
jang	j a n g
kôdieâng	k ô d i e â ng
